relid,year,type_of_violence,best
RUS-2002-1-348-511,2002,1,0
RUS-2002-1-348-512,2002,1,1
RUS-2002-1-348-538,2002,1,1
RUS-2002-1-348-367,2002,1,3
RUS-2002-1-348-333,2002,1,2
RUS-2002-1-348-353,2002,1,0
RUS-2002-1-348-355,2002,1,2
RUS-2002-1-348-356,2002,1,1
RUS-2002-1-348-360,2002,1,3
RUS-2002-1-348-445,2002,1,0
RUS-2002-1-348-452,2002,1,0
RUS-2002-1-348-454,2002,1,0
RUS-2002-1-348-456,2002,1,10
RUS-2002-1-348-555,2002,1,7
RUS-2015-1-14619-28,2015,1,3
RUS-2015-1-14619-31,2015,1,0
RUS-2015-1-14619-32,2015,1,1
RUS-2013-1-773-0,2013,1,2
RUS-2013-1-773-1,2013,1,3
RUS-2013-1-773-3,2013,1,0
RUS-2013-1-773-5,2013,1,16
RUS-2013-1-773-8,2013,1,1
RUS-2013-1-773-9,2013,1,1
RUS-2013-1-773-11,2013,1,5
RUS-2013-1-773-12,2013,1,1
RUS-2013-1-773-45,2013,1,1
RUS-2013-1-773-14,2013,1,5
RUS-2013-1-773-15,2013,1,7
RUS-2013-1-773-16,2013,1,1
RUS-2013-1-773-17,2013,1,1
RUS-2013-1-773-18,2013,1,3
RUS-2013-1-773-25,2013,1,1
RUS-2013-1-773-40,2013,1,0
RUS-2013-1-773-41,2013,1,0
RUS-2013-1-773-42,2013,1,4
RUS-2013-1-773-44,2013,1,1
RUS-2013-1-773-46,2013,1,2
RUS-2013-1-773-47,2013,1,11
RUS-2013-1-773-48,2013,1,0
RUS-2013-1-773-49,2013,1,1
RUS-2013-1-773-51,2013,1,2
RUS-2013-1-773-54,2013,1,2
RUS-2013-1-773-55,2013,1,2
RUS-2013-1-773-56,2013,1,2
RUS-2013-1-773-58,2013,1,0
