relid,year,type_of_violence,best
USA-2002-1-360-26,2002,1,13
USA-2002-1-360-28,2002,1,1
USA-2002-1-360-29,2002,1,5
USA-2002-1-360-33,2002,1,0
USA-2002-1-360-34,2002,1,2
USA-2002-1-360-36,2002,1,5
USA-2002-1-360-37,2002,1,2
USA-2002-1-360-30,2002,1,0
USA-2002-1-360-35,2002,1,1
USA-2002-1-360-39,2002,1,2
USA-2002-1-360-42,2002,1,3
USA-2002-1-360-44,2002,1,2
USA-2002-1-360-45,2002,1,4
USA-2002-1-360-50,2002,1,0
USA-2002-1-360-52,2002,1,2
USA-2002-1-360-53,2002,1,2
USA-2003-1-360-10,2003,1,5
USA-2002-1-360-55,2002,1,16
USA-2002-1-360-57,2002,1,10
USA-2002-1-360-60,2002,1,2
USA-2004-1-360-999,2004,1,3
USA-2002-1-360-58,2002,1,1
USA-2002-1-360-59.1,2002,1,1
USA-2003-1-360-2,2003,1,3
USA-2003-1-360-3,2003,1,1
USA-2004-1-360-23,2004,1,2
USA-2004-1-360-52,2004,1,1
USA-2004-1-360-49,2004,1,4
USA-2005-1-360-999,2005,1,3
USA-2006-1-360-5,2006,1,4
USA-2006-1-360-6,2006,1,3
USA-2006-1-360-7,2006,1,1
USA-2006-1-360-8,2006,1,7
USA-2006-1-360-10,2006,1,2
USA-2006-1-360-9,2006,1,1
USA-2007-1-360-2,2007,1,1
USA-2007-1-360-3,2007,1,24
USA-2007-1-360-4,2007,1,5
USA-2007-1-360-5,2007,1,1
USA-2007-1-360-6,2007,1,6
USA-2007-1-360-7,2007,1,5
USA-2007-1-360-8,2007,1,1
USA-2007-1-360-9,2007,1,4
USA-2007-1-360-10,2007,1,9
USA-2007-1-360-11,2007,1,2
USA-2007-1-360-13,2007,1,3
USA-2007-1-360-14,2007,1,1
USA-2007-1-360-16,2007,1,2
USA-2007-1-360-17,2007,1,1
USA-2008-1-360-35,2008,1,5
USA-2007-1-360-18,2007,1,2
USA-2008-1-360-32,2008,1,3
USA-2008-1-360-20,2008,1,6
USA-2008-1-360-21,2008,1,2
USA-2008-1-360-22,2008,1,0
USA-2008-1-360-23,2008,1,3
USA-2008-1-360-24,2008,1,0
USA-2008-1-360-25,2008,1,0
USA-2008-1-360-26,2008,1,4
USA-2008-1-360-28,2008,1,0
USA-2008-1-360-29,2008,1,12
USA-2008-1-360-30,2008,1,1
USA-2008-1-360-31,2008,1,2
USA-2008-1-360-33,2008,1,2
USA-2008-1-360-34,2008,1,7
USA-2008-1-360-36,2008,1,3
USA-2009-1-360-26,2009,1,12
USA-2009-1-360-34,2009,1,2
USA-2010-1-360-83,2010,1,4
USA-2011-1-360-3,2011,1,1
USA-2011-1-360-999,2011,1,4
USA-2012-1-360-2,2012,1,1
USA-2011-1-360-2,2011,1,17
USA-2011-1-360-4,2011,1,0
USA-2012-1-360-3,2012,1,1
USA-2012-1-360-4,2012,1,1
USA-2012-1-360-5,2012,1,2
USA-2002-1-360-999.2,2002,1,16
USA-2001-1-360-16,2001,1,100
USA-2001-1-360-23,2001,1,35
USA-2001-1-360-39,2001,1,20
USA-2002-1-360-18,2002,1,200
USA-2002-1-360-49,2002,1,6
USA-2002-1-360-51,2002,1,1
USA-2003-1-360-11,2003,1,7
USA-2002-1-360-59.2,2002,1,1
USA-2001-1-360-8,2001,1,0
